25.08 05:48:45  | W | ********* LOGGER STARTED ********* 

25.08 05:48:46  | V | 


25.08 05:48:46  | V | **** CLASS com.android.internal.telephony.Phone
25.08 05:48:46  | V | ** Fields: 98
25.08 05:48:46  | V |  int APN_ALREADY_ACTIVE => 0
25.08 05:48:46  | V |  int APN_REQUEST_FAILED => 3
25.08 05:48:46  | V |  int APN_REQUEST_STARTED => 1
25.08 05:48:46  | V |  class java.lang.String APN_TYPE_ALL => *
25.08 05:48:46  | V |  class java.lang.String APN_TYPE_DEFAULT => default
25.08 05:48:46  | V |  class java.lang.String APN_TYPE_DUN => dun
25.08 05:48:46  | V |  class java.lang.String APN_TYPE_HIPRI => hipri
25.08 05:48:46  | V |  class java.lang.String APN_TYPE_MMS => mms
25.08 05:48:46  | V |  int APN_TYPE_NOT_AVAILABLE => 2
25.08 05:48:46  | V |  class java.lang.String APN_TYPE_SUPL => supl
25.08 05:48:46  | V |  int BM_AUS2_BAND => 5
25.08 05:48:46  | V |  int BM_AUS_BAND => 4
25.08 05:48:46  | V |  int BM_BOUNDARY => 6
25.08 05:48:46  | V |  int BM_EURO_BAND => 1
25.08 05:48:46  | V |  int BM_JPN_BAND => 3
25.08 05:48:46  | V |  int BM_UNSPECIFIED => 0
25.08 05:48:46  | V |  int BM_US_BAND => 2
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_A_KEY_EXCHANGED => 2
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_COMMITTED => 8
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_IMSI_DOWNLOADED => 6
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_MDN_DOWNLOADED => 5
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_NAM_DOWNLOADED => 4
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_OTAPA_ABORTED => 11
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_OTAPA_STARTED => 9
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_OTAPA_STOPPED => 10
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_PRL_DOWNLOADED => 7
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_SPC_RETRIES_EXCEEDED => 1
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_SPL_UNLOCKED => 0
25.08 05:48:46  | V |  int CDMA_OTA_PROVISION_STATUS_SSD_UPDATED => 3
25.08 05:48:46  | V |  int CDMA_RM_AFFILIATED => 1
25.08 05:48:46  | V |  int CDMA_RM_ANY => 2
25.08 05:48:46  | V |  int CDMA_RM_HOME => 0
25.08 05:48:46  | V |  int CDMA_SUBSCRIPTION_NV => 1
25.08 05:48:46  | V |  int CDMA_SUBSCRIPTION_RUIM_SIM => 0
25.08 05:48:46  | V |  class java.lang.String DATA_APN_KEY => apn
25.08 05:48:46  | V |  class java.lang.String DATA_APN_TYPES_KEY => apnType
25.08 05:48:46  | V |  class java.lang.String DATA_APN_TYPE_STATE => apnTypeState
25.08 05:48:46  | V |  class java.lang.String DATA_DISABLED_ON_BOOT_KEY => disabled_on_boot_key
25.08 05:48:46  | V |  class java.lang.String DATA_GATEWAY_KEY => gateway
25.08 05:48:46  | V |  class java.lang.String DATA_GW_ADDRESS_KEY => igwaddress
25.08 05:48:46  | V |  class java.lang.String DATA_IFACE_NAME_KEY => iface
25.08 05:48:47  | V |  class java.lang.String DATA_IPVERSION_KEY => ipVersion
25.08 05:48:47  | V |  class java.lang.String DATA_IP_ADDRESS_KEY => ipaddress
25.08 05:48:47  | V |  boolean DEBUG_PHONE => true
25.08 05:48:47  | V |  class java.lang.String FAILURE_REASON_KEY => reason
25.08 05:48:47  | V |  class java.lang.String FEATURE_ENABLE_DUN => enableDUN
25.08 05:48:47  | V |  class java.lang.String FEATURE_ENABLE_HIPRI => enableHIPRI
25.08 05:48:47  | V |  class java.lang.String FEATURE_ENABLE_MMS => enableMMS
25.08 05:48:47  | V |  class java.lang.String FEATURE_ENABLE_SUPL => enableSUPL
25.08 05:48:47  | V |  class java.lang.String NETWORK_UNAVAILABLE_KEY => networkUnvailable
25.08 05:48:47  | V |  int NT_MODE_CDMA => 4
25.08 05:48:47  | V |  int NT_MODE_CDMA_NO_EVDO => 5
25.08 05:48:47  | V |  int NT_MODE_EVDO_NO_CDMA => 6
25.08 05:48:47  | V |  int NT_MODE_GLOBAL => 7
25.08 05:48:47  | V |  int NT_MODE_GSM_ONLY => 1
25.08 05:48:47  | V |  int NT_MODE_GSM_UMTS => 3
25.08 05:48:47  | V |  int NT_MODE_WCDMA_ONLY => 2
25.08 05:48:47  | V |  int NT_MODE_WCDMA_PREF => 0
25.08 05:48:47  | V |  class java.lang.String PHONE_IN_ECM_STATE => phoneinECMState
25.08 05:48:47  | V |  class java.lang.String PHONE_NAME_KEY => phoneName
25.08 05:48:47  | V |  int PHONE_TYPE_CDMA => 2
25.08 05:48:47  | V |  int PHONE_TYPE_GSM => 1
25.08 05:48:47  | V |  int PHONE_TYPE_NONE => 0
25.08 05:48:47  | V |  int PHONE_TYPE_SEC_SIP => 4
25.08 05:48:47  | V |  int PHONE_TYPE_SIP => 3
25.08 05:48:47  | V |  int PREFERRED_CDMA_SUBSCRIPTION => 1
25.08 05:48:47  | V |  int PREFERRED_NT_MODE => 0
25.08 05:48:47  | V |  class java.lang.String REASON_APN_CHANGED => apnChanged
25.08 05:48:47  | V |  class java.lang.String REASON_APN_DISABLED => apnDisabled
25.08 05:48:47  | V |  class java.lang.String REASON_APN_ENABLED => apnEnabled
25.08 05:48:47  | V |  class java.lang.String REASON_APN_FAILED => apnFailed
25.08 05:48:47  | V |  class java.lang.String REASON_APN_FAILED_INSUFFICIENT_RESOURCES => apnFailedInsufficientResources
25.08 05:48:47  | V |  class java.lang.String REASON_APN_SWITCHED => apnSwitched
25.08 05:48:47  | V |  class java.lang.String REASON_CDMA_DATA_ATTACHED => cdmaDataAttached
25.08 05:48:47  | V |  class java.lang.String REASON_CDMA_DATA_DETACHED => cdmaDataDetached
25.08 05:48:47  | V |  class java.lang.String REASON_DATA_DISABLED => dataDisabled
25.08 05:48:47  | V |  class java.lang.String REASON_DATA_ENABLED => dataEnabled
25.08 05:48:47  | V |  class java.lang.String REASON_GPRS_ATTACHED => gprsAttached
25.08 05:48:47  | V |  class java.lang.String REASON_GPRS_DETACHED => gprsDetached
25.08 05:48:47  | V |  class java.lang.String REASON_NET_TYPE_CHANGED => networkTypeChanged
25.08 05:48:47  | V |  class java.lang.String REASON_PDP_DROPPED => pdpDropped
25.08 05:48:47  | V |  class java.lang.String REASON_PDP_RESET => pdpReset
25.08 05:48:47  | V |  class java.lang.String REASON_PENDING_APN_ENABLED => pendingApnEnabled
25.08 05:48:47  | V |  class java.lang.String REASON_PS_RESTRICT_DISABLED => psRestrictDisabled
25.08 05:48:47  | V |  class java.lang.String REASON_PS_RESTRICT_ENABLED => psRestrictEnabled
25.08 05:48:47  | V |  class java.lang.String REASON_RADIO_TURNED_OFF => radioTurnedOff
25.08 05:48:47  | V |  class java.lang.String REASON_RESTORE_DEFAULT_APN => restoreDefaultApn
25.08 05:48:47  | V |  class java.lang.String REASON_ROAMING_OFF => roamingOff
25.08 05:48:47  | V |  class java.lang.String REASON_ROAMING_ON => roamingOn
25.08 05:48:47  | V |  class java.lang.String REASON_SIM_LOADED => simLoaded
25.08 05:48:47  | V |  class java.lang.String REASON_VOICE_CALL_ENDED => 2GVoiceCallEnded
25.08 05:48:47  | V |  class java.lang.String REASON_VOICE_CALL_STARTED => 2GVoiceCallStarted
25.08 05:48:47  | V |  class java.lang.String STATE_CHANGE_REASON_KEY => reason
25.08 05:48:47  | V |  class java.lang.String STATE_KEY => state
25.08 05:48:47  | V |  int TTY_MODE_FULL => 1
25.08 05:48:47  | V |  int TTY_MODE_HCO => 2
25.08 05:48:48  | V |  int TTY_MODE_OFF => 0
25.08 05:48:48  | V |  int TTY_MODE_VCO => 3
25.08 05:48:48  | V | ** Constructors: 0
25.08 05:48:48  | V | ** Methods: 187
25.08 05:48:48  | V |     public abstract void com.android.internal.telephony.Phone.acceptCall() throws com.android.internal.telephony.CallStateException
25.08 05:48:48  | V |     public abstract void com.android.internal.telephony.Phone.activateCellBroadcastSms(int,android.os.Message)
25.08 05:48:48  | V |     public abstract boolean com.android.internal.telephony.Phone.canConference()
25.08 05:48:48  | V |     public abstract boolean com.android.internal.telephony.Phone.canTransfer()
25.08 05:48:48  | V |     public abstract boolean com.android.internal.telephony.Phone.changeBarringPassword(java.lang.String,java.lang.String,java.lang.String,android.os.Message)
25.08 05:48:48  | V |     public abstract boolean com.android.internal.telephony.Phone.changeBarringPassword(java.lang.String,java.lang.String,java.lang.String,java.lang.String,android.os.Message)
25.08 05:48:48  | V |     public abstract void com.android.internal.telephony.Phone.clearDisconnected()
25.08 05:48:48  | V |     public abstract void com.android.internal.telephony.Phone.conference() throws com.android.internal.telephony.CallStateException
25.08 05:48:48  | V |     public abstract com.android.internal.telephony.Connection com.android.internal.telephony.Phone.dial(java.lang.String) throws com.android.internal.telephony.CallStateException
25.08 05:48:48  | V |     public abstract com.android.internal.telephony.Connection com.android.internal.telephony.Phone.dial(java.lang.String,com.android.internal.telephony.UUSInfo) throws com.android.internal.telephony.CallStateException
25.08 05:48:48  | V |     public abstract com.android.internal.telephony.Connection com.android.internal.telephony.Phone.dialVideoCall(java.lang.String) throws com.android.internal.telephony.CallStateException
25.08 05:48:48  | V |     public abstract int com.android.internal.telephony.Phone.disableApnType(java.lang.String)
25.08 05:48:48  | V |     public abstract boolean com.android.internal.telephony.Phone.disableDataConnectivity()
